	uncomfortable taking 5 or more pills		
biological sex	disagree	agree	Total
	Prop.	Prop.	Prop.
male	0.5343	0.4657	1.0000
female	0.4186	0.5814	1.0000
Total	0.4660	0.5340	1.0000

