	pillsmax_clean						
dementia status	1	2	3	4	5	6	Total
	Prop.	Prop.	Prop.	Prop.	Prop.	Prop.	Prop.
possible dementia	0.30	0.13	0.10	0.05	0.01	0.01	0.60
probable dementia	0.23	0.07	0.05	0.02	0.01	0.02	0.40
Total	0.53	0.20	0.15	0.07	0.02	0.03	1.00

