	uncomfortable taking 5 or more pills		
number of adl dependencies >=2	disagree	agree	Total
	Prop.	Prop.	Prop.
<2	0.4234	0.5766	1.0000
>=2	0.6668	0.3332	1.0000
Total	0.4957	0.5043	1.0000

