	binary, willing to stop take meds		
binary, take more meds than needed	disagree	agree	Total
	Prop.	Prop.	Prop.
disagree	0.0514	0.6293	0.6808
agree	0.0044	0.3148	0.3192
Total	0.0559	0.9441	1.0000

