	binary, willing to stop take meds		
binary, take more meds than needed	disagree	agree	Total
	Prop.	Prop.	Prop.
disagree	0.0703	0.6765	0.7468
agree	0.0257	0.2275	0.2532
Total	0.0960	0.9040	1.0000

