	binary, take more meds than needed		
marital status	disagree	agree	Total
	Prop.	Prop.	Prop.
married or living with partner	0.8002	0.1998	1.0000
separated, divorced, widowed, never married	0.7596	0.2404	1.0000
Total	0.7752	0.2248	1.0000

