	binary, take more meds than needed		
categorical age at interview, 3 categories	disagree	agree	Total
	Prop.	Prop.	Prop.
65 to 74	0.7345	0.2655	1.0000
75 to 84	0.7796	0.2204	1.0000
85 +	0.7940	0.2060	1.0000
Total	0.7752	0.2248	1.0000

