	binary, willing to stop take meds		
binary, take more meds than needed	disagree	agree	Total
	Prop.	Prop.	Prop.
disagree	0.1366	0.6568	0.7934
agree	0.0100	0.1966	0.2066
Total	0.1466	0.8534	1.0000

